lat,lon,value,power,crl,flag
77.92163649911446,-131.0698244542745,"{""a"": 93.24288102986556, ""s"": 3.0059060136922326, ""mu"": 1.9909355709592362, ""pt"": 0.010011527182001826, ""ID"": -1}","{""pt"": 39.39537435837444, ""pc"": 39.39231367879028, ""pn"": 15.560379962023214, ""pc-pn"": 23.831933716767068, ""mu"": 1.9909355709592362}",0.9966509431641701,1
78.01275899757702,-131.03968816954162,"{""a"": 92.96851018401087, ""s"": 3.359059857375739, ""mu"": 2.097510848178522, ""pt"": 0.010171218609032194, ""ID"": -1}","{""pt"": 39.344683155841295, ""pc"": 39.36671742932254, ""pn"": 16.751696971106824, ""pc-pn"": 22.615020458215717, ""mu"": 2.097510848178522}",0.9955334545259464,1
78.10389276978917,-131.0090869015702,"{""a"": 93.47865721223545, ""s"": 3.406494592060279, ""mu"": 1.8853091096227035, ""pt"": 0.010104377748912553, ""ID"": -1}","{""pt"": 39.3790595069839, ""pc"": 39.41424930557516, ""pn"": 16.41027969297356, ""pc-pn"": 23.0039696126016, ""mu"": 1.8853091096227035}",0.9963943058406556,1
78.19503762859998,-130.9780098229799,"{""a"": 93.17310294095493, ""s"": 5.079037923011799, ""mu"": 1.1223396717284, ""pt"": 0.010191793208078984, ""ID"": -1}","{""pt"": 39.38612223073148, ""pc"": 39.38581118050844, ""pn"": 17.627172210754267, ""pc-pn"": 21.758638969754173, ""mu"": 1.1223396717284}",0.975723598362258,1
78.28619338429175,-130.9464457681686,"{""a"": 93.33977643752111, ""s"": 3.103424629121948, ""mu"": 1.9263820860454703, ""pt"": 0.010204037515414273, ""ID"": -1}","{""pt"": 39.400873558394416, ""pc"": 39.40133512702576, ""pn"": 15.694548314746179, ""pc-pn"": 23.70678681227958, ""mu"": 1.9263820860454703}",0.9971116482265915,1
78.37735984448193,-130.91438322002512,"{""a"": 92.33260149836171, ""s"": 3.9945679680405513, ""mu"": 1.5923732425467727, ""pt"": 0.010009509312910359, ""ID"": -1}","{""pt"": 39.229902812728675, ""pc"": 39.30710144217022, ""pn"": 17.060144972251045, ""pc-pn"": 22.246956469919176, ""mu"": 1.5923732425467727}",0.9899767494277651,1
78.46853681402837,-130.8818102960112,"{""a"": 91.99666768317822, ""s"": 4.5169630271171775, ""mu"": 1.6677827897038808, ""pt"": 0.010188007203294738, ""ID"": -1}","{""pt"": 39.13767651965564, ""pc"": 39.27544193103767, ""pn"": 18.328625550419922, ""pc-pn"": 20.946816380617747, ""mu"": 1.6677827897038808}",0.9862528605815696,1
78.55972409491369,-130.8487147335783,"{""a"": 91.86838941258203, ""s"": 5.126640182661352, ""mu"": 1.5091453662511018, ""pt"": 0.010026123375245716, ""ID"": -1}","{""pt"": 39.11872668865062, ""pc"": 39.263322052473015, ""pn"": 18.99426744653541, ""pc-pn"": 20.269054605937605, ""mu"": 1.5091453662511018}",0.9883863166439246,1
78.65092148614073,-130.8150838748816,"{""a"": 91.5871116911653, ""s"": 4.5829178415826295, ""mu"": 1.5971657407044035, ""pt"": 0.009936148992185954, ""ID"": -1}","{""pt"": 39.16935408453941, ""pc"": 39.2366872647932, ""pn"": 18.266641249946073, ""pc-pn"": 20.970046014847124, ""mu"": 1.5971657407044035}",0.9911988650314432,1
78.74212878361426,-130.78090465075152,"{""a"": 91.71025176971091, ""s"": 4.507358215931244, ""mu"": 1.5335395633810713, ""pt"": 0.01009613853507735, ""ID"": -1}","{""pt"": 39.17205197680722, ""pc"": 39.248357714089174, ""pn"": 17.945691291421927, ""pc-pn"": 21.302666422667247, ""mu"": 1.5335395633810713}",0.9934370280562601,1
